Country Code,Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Restaurant Name len,Address len
216,-83.3764,33.9584,10,0,0,0,1,4.4,1098,17,3
216,-83.378881,33.958363,25,0,0,0,2,4.2,579,12,3
216,-83.3828224,33.9600227,10,0,0,0,1,4.1,374,23,3
216,-82.0865,33.4721,40,0,0,0,3,4.6,717,33,3
216,-82.0698,33.4791,40,0,0,0,3,4.9,548,18,3
216,-81.97,33.4765,25,0,0,0,2,4.5,631,15,3
216,-81.9684,33.474,10,0,0,0,1,3.9,372,16,3
216,-81.973006,33.477444,25,0,0,0,2,3.9,201,15,3
216,-81.965571,33.481779,40,0,0,0,3,3.8,332,19,3
216,-82.0327,33.4086,25,0,0,0,2,3.5,304,18,3
216,-81.974944,33.478231,40,0,0,0,3,4.3,368,18,3
216,-82.096,33.4827,25,0,0,0,2,4.1,430,39,3
216,-81.9721,33.4778,25,0,0,0,2,4.4,433,15,3
216,-81.9694,33.4764,10,0,0,0,1,4.0,380,20,3
216,-82.0505,33.5133,25,0,0,0,2,4.0,456,22,3
216,-82.0301,33.4848,40,0,0,0,3,4.2,647,9,3
216,-82.080788,33.467201,40,0,0,0,3,4.0,360,14,3
216,-82.0805493,33.5375868,25,0,0,0,2,4.0,227,16,3
216,-82.143793,33.544342,25,0,0,0,2,3.9,290,13,3
216,-82.126161,33.532249,10,0,0,0,1,4.1,270,7,3
216,-82.141284,33.521291,25,0,0,0,2,4.0,326,22,3
216,-82.1328,33.5406,35,0,0,0,3,4.3,317,12,3
216,-82.1997,33.4574,10,0,0,0,1,4.2,300,28,3
14,115.9844924,-33.7845269,20,0,0,0,2,3.2,21,17,3
14,146.685852,-36.360439,20,0,0,0,2,4.6,237,19,4
216,-116.2019,43.6138,25,0,0,0,2,4.5,879,8,3
216,-116.203466,43.616068,25,0,0,0,2,4.6,615,29,3
216,-116.2023,43.6149,25,0,0,0,2,4.5,879,24,3
216,-116.2064,43.6157,70,0,0,0,4,3.9,379,20,3
216,-116.2031,43.614,10,0,0,0,1,4.3,303,31,3
216,-116.185034,43.597235,70,0,0,0,4,4.1,538,19,3
216,-116.2062,43.5945,10,0,0,0,1,4.2,334,9,3
216,-116.2022,43.6167,25,0,0,0,2,4.3,555,21,3
216,-116.193409,43.610279,10,0,0,0,1,4.4,823,17,3
216,-116.2625,43.6192,25,0,0,0,2,4.1,550,19,3
216,-116.202845,43.616295,25,0,0,0,2,4.4,650,4,3
216,-116.199,43.615,10,0,0,0,1,4.3,410,37,3
216,-116.2463,43.6191,10,0,0,0,1,4.4,660,10,3
216,-116.245165,43.6051379,25,0,0,0,2,4.4,360,27,3
216,-116.2021,43.6162,40,0,0,0,3,4.0,340,19,3
216,-116.2031,43.6156,25,0,0,0,2,4.1,393,22,3
216,-116.281809,43.619274,10,0,0,0,1,4.3,422,15,3
216,-116.280614,43.591706,40,0,0,0,3,4.0,435,7,3
216,-116.347304,43.619108,25,0,0,0,2,4.0,369,15,4
216,-116.5629,43.5777,40,0,0,0,3,4.4,487,8,3
216,-91.6336,42.0179,40,0,0,0,3,3.7,98,9,3
216,-91.6327,42.0281,40,0,0,0,3,4.1,365,28,3
216,-91.7148,41.9748,10,0,0,0,1,4.1,190,16,3
216,-91.6224,42.0249,40,0,0,0,3,4.1,429,27,3
216,-91.6347,42.01,25,0,0,0,2,4.4,430,14,3
216,-91.6499622,42.0215347,25,0,0,0,2,4.2,186,14,3
216,-91.7266,41.9639,10,0,0,0,1,4.2,220,20,3
216,-91.6394,42.0468,10,0,0,0,1,4.2,347,18,3
216,-91.569767,41.670466,25,0,0,0,2,3.8,161,8,3
216,-91.5687,41.6685,25,0,0,0,2,4.1,160,12,3
216,-91.534424,41.660982,10,0,0,0,1,4.9,820,23,3
216,-91.531414,41.663849,10,0,0,0,1,4.5,488,26,3
216,-91.531093,41.663751,25,0,0,0,2,3.6,253,14,3
216,-91.534302,41.658691,40,0,0,0,3,3.8,220,5,3
216,-91.5314,41.6648,25,0,0,0,2,4.3,485,21,3
216,-91.5341,41.661,40,0,0,0,3,4.3,428,17,3
216,-91.482165,41.667742,25,0,0,0,2,4.1,294,10,3
216,-91.5318,41.6625,40,0,0,0,3,4.0,380,7,3
216,-91.5074,41.6428,25,0,0,0,2,4.2,259,22,3
216,-91.5995,42.0331,25,0,0,0,2,4.7,433,14,3
37,-82.188438,42.397683,25,0,0,0,2,3.7,176,11,3
216,-123.368151,46.126967,10,0,0,0,1,4.3,96,22,3
216,-84.992671,32.470315,10,0,0,0,1,3.3,33,22,3
216,-84.95591,32.519247,25,0,0,0,2,4.6,489,26,3
216,-84.927047,32.555591,25,0,0,0,2,4.5,345,18,3
216,-84.9436,32.5577,25,0,0,0,2,3.8,149,11,3
216,-84.9936,32.4656,25,0,0,0,2,3.9,330,14,3
216,-84.954984,32.5382197,40,0,0,0,3,3.9,247,25,3
216,-84.9876,32.4637,10,0,0,0,1,3.7,123,28,3
216,-84.9933631,32.4652417,40,0,0,0,3,3.6,109,36,3
216,-84.96661,32.534002,40,0,0,0,3,3.7,134,21,3
216,-84.95367,32.513154,40,0,0,0,3,4.2,722,22,3
216,-84.947569,32.504657,25,0,0,0,2,4.3,213,32,3
216,-84.9607,32.5393,25,0,0,0,2,4.0,335,28,3
216,-84.9464,32.4792,25,0,0,0,2,4.0,353,18,3
216,-84.9427,32.481,0,0,0,0,1,4.0,170,8,3
216,-84.9557,32.5321,25,0,0,0,2,4.1,192,15,3
216,-84.992093,32.466158,40,0,0,0,3,4.1,302,8,3
216,-84.938698,32.560905,10,0,0,0,1,4.2,355,28,3
216,-84.991384,32.468757,25,0,0,0,2,4.3,287,13,3
216,-84.963201,32.527217,40,0,0,0,3,4.0,264,10,3
216,-85.0213,32.7455,40,0,0,0,3,4.4,235,12,3
216,-84.9396931,34.5251331,25,0,0,0,2,3.7,38,29,3
216,-84.926258,34.474635,10,0,0,0,1,4.4,122,27,3
216,-84.9523921,34.4972488,25,0,0,0,2,4.4,207,21,3
216,-84.767911,34.752476,10,0,0,0,1,3.9,66,27,3
216,-84.969393,34.769686,10,0,0,0,1,4.9,249,12,3
216,-85.0039,34.7643,25,0,0,0,2,3.8,63,19,3
216,-84.992342,34.759551,40,0,0,0,3,3.8,145,24,3
216,-84.992924,34.759665,10,0,0,0,1,3.8,83,10,3
216,-84.999678,34.758645,25,0,0,0,2,3.7,116,33,3
216,-84.9678,34.7742,10,0,0,0,1,4.1,122,15,3
216,-84.990925,34.759273,10,0,0,0,1,4.1,142,27,3
216,-84.9964,34.7604,10,0,0,0,1,4.1,114,10,3
216,-85.2229101,34.9428786,25,0,0,0,2,4.6,214,20,3
216,-85.246237,34.9528157,10,0,0,0,1,4.3,116,12,3
216,-85.2545,34.9546,25,0,0,0,2,4.2,111,11,3
216,-85.294955,34.705093,10,0,0,0,1,3.7,25,21,3
216,-85.1321,34.9273,10,0,0,0,1,4.1,128,18,3
216,-85.130492,34.912109,10,0,0,0,1,4.3,244,12,3
216,-85.1079396,34.9151853,10,0,0,0,1,4.2,112,16,3
216,-85.249727,34.851907,10,0,0,0,1,4.1,144,21,3
216,-90.496986,41.574935,25,0,0,0,2,4.6,166,15,3
216,-90.522479,41.53845,40,0,0,0,3,4.5,208,29,3
216,-90.4912446,41.5747801,25,0,0,0,2,3.9,136,22,3
216,-90.504176,41.548746,10,0,0,0,1,4.0,85,21,3
216,-90.50709,41.525384,25,0,0,0,2,4.1,117,18,3
216,-90.574088,41.593892,25,0,0,0,2,3.4,53,33,3
216,-90.565837,41.574459,25,0,0,0,2,4.9,474,19,3
216,-90.5716,41.5604,10,0,0,0,1,3.9,125,11,3
216,-90.5737,41.5223,70,0,0,0,4,3.7,201,16,3
216,-90.5683,41.5699,0,0,0,0,1,4.3,167,6,3
216,-90.5321,41.5749,25,0,0,0,2,4.0,112,10,3
216,-90.5432,41.5747,25,0,0,0,2,4.1,256,22,3
216,-90.572418,41.520389,10,0,0,0,1,4.3,123,20,3
216,-90.5137,41.5745,25,0,0,0,2,4.0,199,27,3
216,-90.5686,41.559,25,0,0,0,2,4.1,157,10,3
216,-90.6136,41.5944,25,0,0,0,2,4.1,100,23,3
216,-90.515175,41.570997,40,0,0,0,3,4.2,141,5,3
216,-90.517,41.5747,25,0,0,0,2,4.2,197,15,3
216,-93.610084,42.010254,25,0,0,0,2,4.5,1025,12,3
216,-93.643094,42.048779,25,0,0,0,2,4.9,570,8,3
216,-93.677638,41.614965,40,0,0,0,3,4.5,674,12,3
216,-93.739573,41.600564,25,0,0,0,2,4.1,496,10,3
216,-93.760027,41.60028,25,0,0,0,2,4.0,411,21,3
216,-93.627896,41.583309,25,0,0,0,2,3.2,113,4,3
